danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,albumid,artists,genre,imagehref,trackName
0.539,0.432,8,-9.298,1,0.0249,0.617,0.692,0.11,0.133,105.196,audio_features,0M6TLjxixptslrmQpWbRoR,spotify:track:0M6TLjxixptslrmQpWbRoR,https://api.spotify.com/v1/tracks/0M6TLjxixptslrmQpWbRoR,https://api.spotify.com/v1/audio-analysis/0M6TLjxixptslrmQpWbRoR,288595,4,2019-09-12T18:20:46Z,3cgFq282Yi9czapuam0DwB,Cigarettes After Sex,dream pop,https://i.scdn.co/image/ab67616d0000b273932653720dbbe4087f2910fd,Heavenly
0.474,0.337,3,-9.442,0,0.0279,0.751,0,0.175,0.198,134.827,audio_features,6Tv47TbXgnalXzy0xolGla,spotify:track:6Tv47TbXgnalXzy0xolGla,https://api.spotify.com/v1/tracks/6Tv47TbXgnalXzy0xolGla,https://api.spotify.com/v1/audio-analysis/6Tv47TbXgnalXzy0xolGla,224344,4,2019-09-12T18:17:03Z,0v86G6SgO1KJtNkdjygx1s,Vancouver Sleep Clinic,chamber pop,https://i.scdn.co/image/ab67616d0000b273a1a1eba98576464ae17ac654,Summer '09
0.335,0.275,0,-12.984,1,0.0403,0.812,0.766,0.103,0.0634,152.609,audio_features,4hiNXRP0MUIl6wdEMAnazO,spotify:track:4hiNXRP0MUIl6wdEMAnazO,https://api.spotify.com/v1/tracks/4hiNXRP0MUIl6wdEMAnazO,https://api.spotify.com/v1/audio-analysis/4hiNXRP0MUIl6wdEMAnazO,200856,4,2019-09-10T00:55:35Z,5aYSZXvc6VcNWB3jdaqQBK,Arbour,chillhop,https://i.scdn.co/image/ab67616d0000b273227cff094bb0cfa20ce1d3d5,Magic--Pearl
0.687,0.263,11,-8.72,1,0.0435,0.776,0.00013,0.102,0.21,120.1,audio_features,0tSXGhlgB73267m4AExpJL,spotify:track:0tSXGhlgB73267m4AExpJL,https://api.spotify.com/v1/tracks/0tSXGhlgB73267m4AExpJL,https://api.spotify.com/v1/audio-analysis/0tSXGhlgB73267m4AExpJL,184000,4,2019-08-31T20:36:14Z,3k7yXRhLe1e1EiRWYx57IN,sophie meiers,bedroom soul,https://i.scdn.co/image/ab67616d0000b2731735bee749499638fd154f33,Don't Be Scared
0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,audio_features,6X3FZtz4cKU2MKSQlGG9ZG,spotify:track:6X3FZtz4cKU2MKSQlGG9ZG,https://api.spotify.com/v1/tracks/6X3FZtz4cKU2MKSQlGG9ZG,https://api.spotify.com/v1/audio-analysis/6X3FZtz4cKU2MKSQlGG9ZG,260520,4,2019-08-31T20:29:38Z,5YwYhMFzSWG8i7NEuwnIzs,Clairo,bedroom pop,https://i.scdn.co/image/38450de1e0291c796b898ec47c4813a865b2ff87,Bags
0.627,0.371,2,-10.621,1,0.0269,0.637,0.0643,0.0759,0.361,143.935,audio_features,6TIOhfnPBw0k5s3KHN3VHO,spotify:track:6TIOhfnPBw0k5s3KHN3VHO,https://api.spotify.com/v1/tracks/6TIOhfnPBw0k5s3KHN3VHO,https://api.spotify.com/v1/audio-analysis/6TIOhfnPBw0k5s3KHN3VHO,412418,4,2019-08-31T20:14:04Z,2yAyZp16EbanQ9pBwQs70x,Current Joys,indie garage rock,https://i.scdn.co/image/ab67616d0000b27323d7bd16f163161fa7e09932,A Different Age
0.505,0.784,11,-5.074,0,0.0363,0.000531,0.886,0.205,0.376,152.027,audio_features,0e5XEgAmlICTMyAdzHxGqU,spotify:track:0e5XEgAmlICTMyAdzHxGqU,https://api.spotify.com/v1/tracks/0e5XEgAmlICTMyAdzHxGqU,https://api.spotify.com/v1/audio-analysis/0e5XEgAmlICTMyAdzHxGqU,284211,4,2019-08-23T03:12:54Z,2ABj0WRbCfWEvDZ2QRtMug,Dreams We've Had,minneapolis indie,https://i.scdn.co/image/ab67616d0000b273da2d4ba70c03b8dae8d0c35e,News From The War
0.41,0.169,3,-11.422,1,0.0485,0.847,0.00327,0.117,0.208,89.494,audio_features,6SEolIp22t0DzeBfCBo3hr,spotify:track:6SEolIp22t0DzeBfCBo3hr,https://api.spotify.com/v1/tracks/6SEolIp22t0DzeBfCBo3hr,https://api.spotify.com/v1/audio-analysis/6SEolIp22t0DzeBfCBo3hr,311837,4,2019-08-18T05:37:58Z,0jJ7mMkCkTe7p9EJgSRxgi,FKJ,filter house,https://i.scdn.co/image/ab67616d0000b273b9fe968166411b66df1e69fd,Vibin' Out with ((( O )))
0.697,0.433,7,-9.822,0,0.052,0.614,0.042,0.0901,0.266,148.087,audio_features,5kc6erfW0v4PtsBtRJpf0Z,spotify:track:5kc6erfW0v4PtsBtRJpf0Z,https://api.spotify.com/v1/tracks/5kc6erfW0v4PtsBtRJpf0Z,https://api.spotify.com/v1/audio-analysis/5kc6erfW0v4PtsBtRJpf0Z,249847,4,2019-08-18T05:20:45Z,0jJ7mMkCkTe7p9EJgSRxgi,FKJ,filter house,https://i.scdn.co/image/ab67616d0000b273b9fe968166411b66df1e69fd,Skyline
0.692,0.637,10,-6.449,1,0.15,0.286,0.0000215,0.231,0.429,121.99,audio_features,44SO1hMPfH9xUvmI7bjhou,spotify:track:44SO1hMPfH9xUvmI7bjhou,https://api.spotify.com/v1/tracks/44SO1hMPfH9xUvmI7bjhou,https://api.spotify.com/v1/audio-analysis/44SO1hMPfH9xUvmI7bjhou,222067,4,2019-08-13T10:51:05Z,4yNhHfReSTEAe50R7J502a,Sniffle Party,eau claire indie,https://i.scdn.co/image/ab67616d0000b27327bc6c7415c320a2e9dfdf33,Peach Dream
